"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
70167,"Kavaratti",1000,3000,1496,"Lakshadweep","Member State","NO",115,"India",1.55700119392,0.00270815328633,"[0,555]"
17758,"Akola",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",5.0688758413,0.478227507569,"(1.67e+03,2.22e+03]"
17759,"Amravati",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.12082260403,1.05993787898,"(1.67e+03,2.22e+03]"
17761,"Bhandara",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.97867809015,0.408768914337,"(1.11e+03,1.67e+03]"
17762,"Buldana",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.13763477097,0.831675657831,"(1.67e+03,2.22e+03]"
17763,"Chandrapur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.97273892895,0.976878100255,"(1.11e+03,1.67e+03]"
17764,"Dhule",1998,3000,1498,"Maharashtra","Member State","NO",115,"India",5.43866886252,0.623029754413,"(1.67e+03,2.22e+03]"
17765,"Garhchiroli",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.32386763191,1.24661415317,"(1.67e+03,2.22e+03]"
17767,"Jalgaon",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.83576546565,1.02017384564,"(1.67e+03,2.22e+03]"
17769,"Kolhapur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.16429536436,0.647767355093,"(2.22e+03,2.78e+03]"
17770,"Latur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.6071550186,0.618378467839,"(1.11e+03,1.67e+03]"
17771,"Nagpur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.45532822617,0.863321843057,"(1.11e+03,1.67e+03]"
17772,"Nanded",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",9.38736904533,0.909123181526,"(1.11e+03,1.67e+03]"
17773,"Nashik",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.70715914897,1.34096787754,"(1.67e+03,2.22e+03]"
17774,"Osmanabad",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.82482777967,0.644802428461,"(1.11e+03,1.67e+03]"
17776,"Pune",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.75242927675,1.33527723018,"(1.67e+03,2.22e+03]"
17777,"Raigarh",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",11.2601005246,0.589605758235,"(2.22e+03,2.78e+03]"
17778,"Ratnagiri",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.5232396745,0.720039301327,"(2.22e+03,2.78e+03]"
17779,"Sindhudurg",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.42718012768,0.435661253873,"(2.22e+03,2.78e+03]"
17780,"Sangli",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.25598608636,0.72465866448,"(2.22e+03,2.78e+03]"
17781,"Satara",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.69976765576,0.891484152986,"(2.22e+03,2.78e+03]"
17782,"Solapur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",10.9728727907,1.26690159032,"(1.67e+03,2.22e+03]"
17783,"Thane",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",10.2001008683,0.81175009795,"(2.22e+03,2.78e+03]"
17784,"Wardha",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.35255593468,0.547360089022,"(1.11e+03,1.67e+03]"
17785,"Yavatmal",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.38485643625,1.16822900008,"(1.11e+03,1.67e+03]"
17786,"Aurangabad",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.77539118934,0.871359908923,"(1.11e+03,1.67e+03]"
70178,"Ahmednagar",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",10.5519048913,1.38595754802,"(1.67e+03,2.22e+03]"
70179,"Bid",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.75962073127,0.978864198584,"(1.11e+03,1.67e+03]"
70180,"Gondiya",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.47025408135,0.403127969714,"(1.67e+03,2.22e+03]"
70181,"Hingoli",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.42792556537,0.403499727721,"(1.11e+03,1.67e+03]"
70182,"Jalna",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.07951538103,0.670745866646,"(1.11e+03,1.67e+03]"
70183,"Mumbai Suburban",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",1.22174678755,0.0350498821483,"(2.22e+03,2.78e+03]"
70184,"Mumbai city",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",0.794985134497,0.00660527511533,"(2.22e+03,2.78e+03]"
70185,"Nandurbar",1998,3000,1498,"Maharashtra","Member State","NO",115,"India",6.22655261757,0.517185903368,"(1.67e+03,2.22e+03]"
70186,"Parbhani",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.01954264125,0.543877796186,"(1.11e+03,1.67e+03]"
70187,"Washim",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",5.31894905864,0.448801369639,"(1.67e+03,2.22e+03]"
70188,"Bishnupur",1000,3000,1500,"Manipur","Member State","NO",115,"India",1.51252646275,0.0428407518206,"(2.22e+03,2.78e+03]"
70189,"Chandel",1000,3000,1500,"Manipur","Member State","NO",115,"India",2.9624461837,0.284098471847,"(2.22e+03,2.78e+03]"
70190,"Churachandpur",1000,3000,1500,"Manipur","Member State","NO",115,"India",4.13323214097,0.422689241333,"(2.22e+03,2.78e+03]"
70191,"East Imphal",1997,3000,1500,"Manipur","Member State","NO",115,"India",2.78608648681,0.0534178628907,"(2.22e+03,2.78e+03]"
70192,"Senapati",1000,3000,1500,"Manipur","Member State","NO",115,"India",6.24895629116,0.312109138903,"(1.67e+03,2.22e+03]"
70193,"Tamenglong",1000,3000,1500,"Manipur","Member State","NO",115,"India",3.98724929289,0.375155164152,"(2.22e+03,2.78e+03]"
70194,"Thoubal",1000,3000,1500,"Manipur","Member State","NO",115,"India",2.06673515447,0.0636198333609,"(2.22e+03,2.78e+03]"
70195,"Ukhrul",1000,3000,1500,"Manipur","Member State","NO",115,"India",3.46268499219,0.395062739633,"(1.67e+03,2.22e+03]"
